obj,SpecBin,SBtype,Mass,EMass,eMass,Age,EAge,eAge
TYC56-284-1,NO,-,1.47,0.06,0.06,13.0,4.0,3.0
TYC5649-822-1,NO,-,2.59,0.1,0.24,3.9,1.5,0.6
TYC628-841-1,NO,-,1.37,0.07,0.06,15.0,2.0,4.0
TYC6749-1126-1,YES,SB1,1.21,0.13,0.04,19.0,5.0,7.0
TYC6779-305-1,MAYBE,SB1,1.26,0.16,0.05,17.0,5.0,7.0
TYC6822-283-1,NO,-,2.5,0.18,0.24,4.0,2.0,1.0
TYC6843-956-1,NO,-,2.45,0.23,0.19,3.9,1.1,0.9
TYC6846-840-1,NO,-,2.37,0.18,0.15,4.3,2.2,0.5
TYC6849-1024-1,NO,-,1.53,0.19,0.06,11.0,6.0,4.0
TYC6849-1059-1,NO,-,2.62,0.25,0.16,3.1,0.7,0.7
TYC6853-3845-1,NO,-,3.86,0.4,0.4,0.7,0.4,0.2
TYC6858-2632-1,NO,-,3.61,0.46,0.96,300.0,500.0,100.0
TYC7374-702-1,NO,-,2.54,0.23,0.21,4.0,1.6,0.7
TYC7379-170-1,NO,-,2.12,0.24,0.12,7.0,1.0,3.0
TYC7389-385-1,YES,SB1,2.22,0.18,0.1,6.0,1.0,2.0
TYC7645-1683-1,NO,-,2.57,0.17,0.16,4.0,1.3,0.7
TYC7851-91-1,NO,-,2.44,0.23,0.21,5.0,1.0,2.0
TYC7879-1373-1,MAYBE,SB1,2.66,0.1,0.23,3.3,1.0,0.3
TYC7879-1506-1,NO,-,2.28,0.18,0.1,6.0,1.0,2.0
TYC7892-4279-1,NO,-,2.29,0.18,0.12,6.0,1.0,2.0
TYC8161-658-1,NO,-,2.39,0.3,0.27,5.0,3.0,2.0
TYC8241-3236-1,NO,-,2.68,0.22,0.16,3.9,0.7,1.1
TYC8603-1782-1,NO,-,2.38,0.18,0.17,5.0,2.0,1.0
TYC8607-401-1,YES,SB1,1.37,0.11,0.04,14.0,2.0,3.0
TYC8696-573-1,NO,-,1.28,0.02,0.07,20.0,29.0,2.0
TYC8697-1251-1,NO,SB1?,2.68,0.19,0.41,3.3,1.8,0.6
TYC8697-1523-1,NO,-,4.04,0.0,0.68,165.62,231.34,0.0
TYC8703-571-1,NO,-,1.82,0.24,0.15,7.0,2.0,2.0
TYC8835-1181-1,YES,SB1,1.24,0.04,0.07,21.0,11.0,3.0
TYC8946-1580-1,NO,-,2.71,0.5,0.28,3.0,1.0,1.0
TYC8959-774-1,YES,SB1,2.72,0.32,0.19,2.7,0.6,0.8
TYC8977-9252-1,NO,-,2.86,0.29,0.22,3.2,0.8,0.8
TYC8995-1696-1,NO,-,2.45,0.23,0.19,3.9,1.0,0.7
TYC9004-2647-1,NO,-,2.18,0.28,0.17,5.0,2.0,1.0
TYC9005-873-1,NO,-,2.5,0.12,0.19,4.4,1.2,0.9
TYC9009-1874-1,NO,-,2.49,0.17,0.18,3.7,0.6,0.8
TYC9291-1885-1,NO,-,1.47,0.11,0.05,13.0,2.0,2.0
