object,deltaT,deltaRV,uncertRV
HIP102719,1473.9235033980003,0.2750757655333853,0.6193793069574435
HIP102719,14.927908158999344,0.7641681463354432,0.6516566291060373
HIP102719,27.863324509999075,0.6250021106328294,0.520514525971029
HIP104305,1475.7415000000037,-2.980000000000004,3.9417570474207047
HIP104305,4.972999999998137,1.0600000000000023,3.9367627578303597
HIP105148,4050.921404741006,-1.722830757981244,0.9673734768132707
HIP107962,1390.0008630490047,2.666988042908783,2.7816712611769008
HIP107962,55.00660283299658,-0.4078065361141867,1.6589172824664855
HIP108402,679.0988359350013,-13.62471691111822,12.215257992138277
HIP108402,0.0016679660038789734,2.638925836945619,15.542681020266647
HIP108402,0.0038741719981771894,0.40388289732378624,14.724671712701412
HIP108402,0.0022485709996544756,0.9683844381021629,13.314536317291456
HIP108402,0.0048214749986073,-1.3506448892815364,13.419351328286227
HIP108402,0.0013722229996346869,1.326537119923799,13.40118665654653
HIP108402,24.95034843400208,-13.712597493998066,13.586064882364646
HIP108402,9.065619960892946E-4,25.771650294093995,13.594131529290186
HIP115551,1445.003584263999,0.7991124046336435,0.7592572427095919
HIP115551,48.88905364200036,-0.011286205081132428,0.7181478842047714
HIP12055,1438.004735126,1.72786478409801,2.4244343661114476
HIP12055,48.949882900000375,1.148005376550195,1.557432272175708
HIP13910,1495.9287160970052,3.462683033708032,3.164596072449199
HIP13910,9.869787730996904,-0.3615050720351256,3.3561250611845233
HIP17527,0.002257822998217307,0.055977223769939854,1.594162009633738
HIP17527,22.996172077000665,-2.0830751980227546E-5,1.7850013740383763
HIP17527,0.0014287119993241504,-0.2578897266497453,2.156550211723983
HIP17527,1064.114186111001,0.2950222868796173,1.9661749873641532
HIP17527,0.8491294589985046,1.2176997893053034,1.961689445485902
HIP17527,0.0036125900005572475,-0.4753174842278014,2.1167201316312534
HIP17543,3293.872031838997,4.363627780435518,3.3614108205751645
HIP17588,1432.9256931960044,3.4379339225791163,3.6163328242066815
HIP17588,3.0255518769990886,-3.3088496779853855,3.473528987508161
HIP17588,2.0620537279974087,0.292639806608074,2.1015782036451083
HIP17664,1390.050214187002,8.188990572292784,3.4846934345050364
HIP17664,41.97084539500065,-1.3366040784943953,3.7859466703143405
HIP17862,1431.194417259001,-1.4309948082183555,1.4663587336642594
HIP17862,3.8941757130014594,0.8251153461763217,1.2287520928335254
HIP19720,1408.1809058020008,2.794823458316202,2.13586218256026
HIP19720,6.063815506997344,-1.5398164876676326,2.696195005595183
HIP20884,0.0015154000066104345,0.06838773434036227,2.3094533236372037
HIP20884,143.81400073999976,-8.461973674728917,2.157526739081177
HIP20884,61.829729189994396,-5.79156201536188,2.4672073519981303
HIP20884,216.17163700300443,7.240175852064713,5.6809984322559295
HIP20884,102.84584493299917,-2.7636480663817338,5.845123425378565
HIP20884,209.33863954399567,-4.356879223746942,4.466224041633005
HIP20884,33.92513204400166,9.871166738431468,4.0016942751148346
HIP20884,0.0014722269988851622,-0.2477303307064389,1.8845916202145878
HIP20884,50.85055050200026,0.5894173426826192,2.8614231577334874
HIP20884,0.002289194002514705,1.6628860286181322,4.533770865615008
HIP20884,281.15157342800376,-7.201195397705607,4.392309203812812
HIP20884,1.0016564549951,-4.34990916736764,6.267571724787116
HIP20884,0.001551990004372783,0.07102546286635913,8.194855039771642
HIP20884,19.004585183996824,4.115508445313525,6.7525186888642565
HIP20884,53.92245247300161,-4.8876475095828695,5.036012130228815
HIP20884,0.0011474299972178414,0.06788143297487892,5.103772150974749
HIP20884,45.985637479003344,6.730093025242933,4.341056548917609
HIP20884,4.8039203219959745,-0.2954350116851039,2.839873178135324
HIP20884,1.0874280620046193,-3.58888082177139,3.9860509378214877
HIP20884,0.0015955049966578372,0.02070851126000406,5.2463428690775595
HIP20884,311.0941919640027,3.939479679917291,4.1539705073978235
HIP20884,0.00207933499768842,-0.09312075635970274,2.682935790047365
HIP20884,21.063236702000722,1.49092109689812,4.311373879219295
HIP20884,0.002135814997018315,0.15460897351717762,5.517409625326792
HIP20884,9.901093384003616,-0.30964361996711887,4.046760672645395
HIP20884,0.001190844996017404,0.14816160197055694,1.4657614357150326
HIP20884,22.84570590400108,-13.273804988091923,9.154256110202512
HIP20884,0.05758040900400374,9.204137729350085,9.27365548358965
HIP20884,2.0016770219954196,5.491431017615284,2.49798068272241
HIP20884,0.0016257200040854514,-0.1860411421930337,2.1432351459035215
HIP20884,12.04772045899881,-1.4980193732623306,1.9271570070872701
HIP20884,0.0016394959966419265,0.10434763848439843,2.010427873167137
HIP20884,14.918166300005396,-1.7377181387904592,1.8449844210142254
HIP20884,563.2976623229988,-4.974282619810333,2.5416628125102716
HIP20884,100.87015189199883,4.937537087998349,2.7040945715640117
HIP20884,0.06196623999858275,0.6320646932609932,1.7977919375527107
HIP20884,378.0126949350015,0.13507725958012884,1.4251985150161082
HIP20884,0.0016514239978278056,0.0267698982147202,1.3257354841196713
HIP20884,30.77435431300546,-3.686891538561774,2.541203106888265
HIP20884,302.05095961799816,-1.0362814505836955,3.7106293435080397
HIP21024,2517.86852027,-1.1463149451779113,2.3863152194062476
HIP21251,1423.075866731997,3.7817315564591247,8.073968922525134
HIP22112,111.79155201999674,0.7263597387044136,5.20374467588268
HIP22370,1371.2728952489997,-80.70633621059615,13.52053755802728
HIP22370,1.004134269001952,20.31835155364689,10.10332259034301
